电视,#genre#

翡翠,https://stream1.freetv.fun/7626cd1e0830deb6cc37d51b751648e27e25c8136a22f61f6bb6ce5a85dcb0c4.ctv
翡翠,https://stream1.freetv.fun/ec738c8f8b5d5706670eb42e4fe79edc5d6f471ba93d0eb20dff4c372efef4db.ctv
翡翠,https://stream1.freetv.fun/8a31735d012894cb8c275ebf1a898a3bb42f7201dd54d6d1201d724877fd9c19.ctv
翡翠,https://stream1.freetv.fun/d9a2e34945118d998ae46a4440adbd8b97ad86e379c36161dbea8d01c7ea74a6.ctv
翡翠,https://stream1.freetv.fun/ab22ef5c7f5290653d178b4eefe1c6c1ff4cf374752e59ab2708ec675951bcfa.ctv
翡翠,https://stream1.freetv.fun/fb264f1bfef92e4d5fd8cf107039be128d5e8cfa55c2730efd8d3fb231346d22.ctv
翡翠,https://stream1.freetv.fun/bd5fd58b590cbb1ae54807d43ded272a7db28b22446a0239754cf241dd1c27f3.ctv
翡翠,https://stream1.freetv.fun/fei-cui-20.ctv
翡翠,https://stream1.freetv.fun/fei-cui-7.ctv
翡翠,https://stream1.freetv.fun/fei-cui-2.ctv
翡翠,https://stream1.freetv.fun/fei-cui-8.ctv
翡翠,https://stream1.freetv.fun/fei-cui-1.ctv
翡翠,https://stream1.freetv.fun/fei-cui-4.ctv
翡翠,https://stream1.freetv.fun/fei-cui-13.ctv
翡翠,https://stream1.freetv.fun/fei-cui-15.ctv

J1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=j1

星河,https://stream1.freetv.fun/e1f2e0d3c534c1d7b467fa6bf2a647527e6841c6c2d76b14b29e22682fba93f1.ctv
星河,https://stream1.freetv.fun/tvbxing-he-6.ctv

经典,https://stream1.freetv.fun/9f3cc38c6035c8df21a7055aca8d449b14238eb1d6d3a5fb1d41cc47e2f4785f.ctv

NOW NEWS,http://cdn.163189.xyz/163189/now
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2

无线新闻,https://stream1.freetv.fun/wu-xian-xin-wen-9.ctv
无线新闻,https://stream1.freetv.fun/wu-xian-xin-wen-2.m3u8
明珠,https://stream1.freetv.fun/ming-zhu-9.m3u8
明珠,https://stream1.freetv.fun/ming-zhu-4.ctv
明珠,https://stream1.freetv.fun/ming-zhu-7.ctv
明珠,https://stream1.freetv.fun/ming-zhu-3.ctv

RTHK31,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk31
RTHK32,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk32
Astro AOD,http://cdn9.163189.xyz/smt1.1.php?id=Aodhd
Astro AOD,http://php.jdshipin.com/TVOD/iptv.php?id=aod
Astro AEC,http://php.jdshipin.com/smt.php?id=AEC
Astro QJ,http://php.jdshipin.com/smt.php?id=Quanjia
Astro欢喜台,http://php.jdshipin.com/smt.php?id=Huahee
美亚电影台,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
天映频道,http://php.jdshipin.com:8880/smt.php?id=Celestial
天映经典,http://php.jdshipin.com:8880/smt.php?id=Celestial2
爱奇艺,http://php.jdshipin.com/smt.php?id=Qiyi
星空卫视,http://iot-mqqt.111yao.cn:8080/live/diyp_xingkong.m3u8
环球电视,http://utv1.hqtvzb.com:9999/hls/world.m3u8

广州综合,http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=c8dbe86d6f86eb1a21999ab479fd5667&txTime=18d3c4690e8
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=dce137597806f62ae6fdfc40328a336e&txTime=191b5fc1c86
广州新闻,http://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d2c2db0b598c02ec1b5623728434d367&txTime=18d57929bd3
